Основные показатели Группы Фонда ;;;;;;
Показатель;Единица измерения;2017 1П Факт;2018 1П Факт;2018 ПЛАН;2018 ОЦЕНКА;
NOPLAT;млрд. тенге;325;376;580;692;
Чистый доход;млрд. тенге;348;529;707;889;
ROIC;%;3,2;3,2;5;6,3;
;;;;;;
;;;;;;
;;;;;;
Основные производственные показатели;;;;;;
Наименование показателя;Ед. изм.;Янв.-Июль 2017  Факт;Янв.-Июль 2018 Факт;Изм.,  %;2018 План;Исполнение плана 2018*,  %
Объем добычи нефти и газоконденсата;млн тонн ;13,3;13,8;4%;23,3;59%
Объем добычи природного газа;млрд куб.м ;3,2;5,5;73%;7;79%
Объем переработки НПЗ (1);млн тонн;9,8;10,9;11%;13;84%
Грузооборот ж/д транспортом;млрд тонн-км;115,5;124,8;8%;213,63;58%
Пассажирооборот ж/д транспортом;млрд пасс.-км;10,6;8,4;-21%;15,07;56%
Объем добычи природного урана (2);тыс. тонн;6,9;6,4;-7%;12,5;51%
Объем производства электроэнергии;млрд кВт.ч;18,1;18,9;4%;31,69;59%
Объем передачи электроэнергии;млрд кВт.ч;24,2;26,5;10%;41,8;63%
Введено в эксплуатацию недвижимости;тыс. кв. м;-   ;92,4;100%;617,26;15%
