ПРОИЗВОДСТВЕННЫЕ ПОКАЗАТЕЛИ КОМПАНИЙ ФОНДА ;;;;;;
;;;;;;
Показатель / компания;Ед.изм.;2017Ф;6 мес 2018 факт;Факт на сегодня;2018 П;2019 П
Производственные показатели;;;;;;
КМГ;;;;;;
Объем добычи нефти и газоконденсата;млн. тонн;23,4;11,9;15,9;23,3;24,5
Экспорт нефти;млн. тонн;17,8;9,2;12,3;17,2;18,1
Объем транспортировки нефти;млн. тонн;65,5;31,4;47,3;60,6;56,5
Объем транспортировки газа;млрд. куб. м;100,9;54,9;72,3;101,7;115,9
Объем переработки нефти и нефти в РК;млн. тонн;12,2;6,3;8;11,4;11,8
Выручка;млрд. тенге;2 458,80;3 356,20;4 048,30;5 432,60;5 763,20
Чистый доход;млрд.тенге;437,5;349,7;492,8;513,3;600,5
;;;;;;
Казатомпром;;;;;;
Объем добычи урана (всеми организациями КАП); тонн;23 391;10 817;12 800,10;23 755;25 164
Объем реализации урана (КАП); тонн;10 111;6 179;7 311,80;17 984;18 809
Выручка;млрд. тенге;337;145;149,9;472;529
Чистый доход;млрд.тенге;139;114;118;165;81
;;;;;;
КТЖ;;;;;;
Грузооборот;млрд. ткм;206,3;106,5;128,3;213,6;225,9
Транзит ;млрд. ткм;25,8;14,9;18,4;32,3;43,6
Контейнерные перевозки (Европа-Китай);тыс. ДФЭ;201;;2,7;15,1;0
Пассажирооборот;млрд. пкм;15,2;6,8;8,8;15,1;15,1
Выручка;млрд. тенге;914,1;496;588,3;1092;1222,2
Чистый доход;млрд.тенге;12,7;-5,4;-10,5;52,5;120,3
;;;;;;
Эйр Астана;;;;;;
Перевезено пассажиров;млн. чел.;4,19;2,1;2,7;5,1;5,7
Количество маршрутов:;штук;69;69;69;69;66
в т.ч. ВВЛ (Внутренние воздушные линии);штук;21;20;20;20;20
в т.ч. МВЛ (Международные воздушные линии);штук;48;49;49;49;46
Выручка;млрд. тенге;21;126;157;289;345
Чистый доход;млрд.тенге;12,8;-6;-1,7;5,5;14,2
;;;;;;
Самрук-Энерго;;;;;;
 Объемы производства электроэнергии;млн. кВтч;28 661,50;16 394,50;22 243,00;31 688,00;29 230,00
     в т. ч. экспорт электроэнергии;млн. кВтч;4 706,00;3 313,00;3 313,00;6 100,00;6 100,00
Объемы производства теплоэнергии;тыс. Гкал;7 029,30;3 108,80;3 382,00;5 591,00;5 515,00
Объемы передачи электроэнергии;млн. кВтч;12 026,10;3 401,80;4 644,60;6 696,00;6 739,00
Объем реализации угля;млн. тонн;40,9;21,9;29,4;41,3;40,3
Выручка;млрд. тенге;219,8;131,9;153,1;251,7;193
Чистый доход;млрд.тенге;-27;8,2;8,9;1;44
;;;;;;
KEGOC;;;;;;
Объем передачи электрической энергии;млрд кВт*ч;42;21,4;25,3;41;42,5
Объемы технической диспетчеризации;млрд кВт*ч;93,6;49,9;59;92,9;91,3
Объемы организация балансирования;млрд кВт*ч;174,5;92,6;109,6;176,9;175,3
Выручка;млрд. тенге;155;87;101,5;171,2;449
Чистый доход;млрд.тенге;32,5;26,2;27,1;35;46,7
;;;;;;
Казахтелеком;;;;;;
Число фиксированных линий;абоненты;3 425 559;3 047 083;3 016 914;3 064 300;2 986 745
Количество абонентов фиксированного ШПД (портов);абоненты;1 686 785;1 816 074;1 834 235;1 720 300;1 980 974
Количество абонентов платного телевидения;абоненты;735 419;768 909;776 598;809 000;839 194
Выручка;млрд. тенге;210;103,6;117;215;212
Чистый доход;млрд.тенге;24,7;20;21;25;30
;;;;;;
Казпочта;;;;;;
Объем почтовых услуг;млн. ед.;223;112,4;114,3;230;215
Объем финансовых услуг;млрд. тг;1 042;537,1;546,2;1 008,00;1 048,00
Объем агентских услуг;млрд. тг;35;20,6;20,9;38;75,7
Выручка;млрд. тенге;48;23,5;25,615;53,9;61
Чистый доход;млрд.тенге;1,2;-0,1;0,1;0,1;2,1
